V_?;?;r;R;?;Psi;Psi_noise_0.05;Psi_noise_0.1;Psi_noise_0.3;Psi_noise_1
63.82547075;34.00219404;0.552333166;0.486474977;8.469358215;4.592181447;1.886453014;5.511404909;12.11939025;-0.377687213
61.505953;39.08984534;0.690354753;0.343786021;6.23828714;20.82598401;19.86751909;21.40172387;17.7075905;16.78632858
61.95976309;37.57796471;0.663048246;0.298434596;5.433017647;20.66843123;22.01375895;19.91088225;16.67014731;27.90932213
60.65105537;35.19476252;0.741557058;0.226943282;6.624234541;24.74286552;24.31601762;21.38267856;23.12725715;25.32599107
60.2158147;32.67393435;0.687734445;0.286245408;9.661173922;19.83166347;22.12072135;20.48794518;22.32194978;27.25274284
62.81401148;32.07507008;0.649456249;0.39634404;9.416308555;14.33537267;15.45080847;15.17390771;16.71002857;9.48060144
61.49578062;30.12926474;0.771021165;0.216657021;8.306665879;23.59879921;23.66914503;25.29430391;21.43649357;28.18004916
63.77618406;33.94513442;0.554063065;0.489450443;8.499420525;4.501435371;3.465000979;6.805394826;6.483934309;9.046913775
63.43708798;37.48004702;0.527613608;0.344345923;7.086708767;12.17249728;10.30359373;14.61108925;10.60612832;1.831614416
63.15630597;34.52169328;0.539361199;0.420839298;6.938942678;7.826079377;6.883150866;7.553922195;8.161132933;5.999834696
61.36955428;30.38177068;0.778686059;0.205550758;8.1987931;24.22290105;22.68342344;25.39879312;18.66819655;26.26647021
61.22390042;36.05478997;0.745931201;0.210554121;6.500636276;26.04583736;27.92687234;28.10964972;23.02252307;19.62361001
61.3650729;38.03840778;0.580414065;0.22457449;7.843905079;19.8466835;18.9202755;19.3591867;18.23671883;18.3001646
61.0673583;37.05125282;0.745157297;0.256299377;8.797472097;25.66863064;27.814187;26.03973428;25.63504934;11.41585645
62.65959878;35.72870002;0.578946037;0.444855215;6.737626315;8.958891263;9.646502213;13.46909976;8.971157067;16.37865367
64.87681822;30.48433635;0.63284879;0.450033083;8.70801981;10.76807057;12.02413187;9.795466734;11.2656484;9.77508447
63.09495266;35.20349278;0.725812278;0.202909593;9.707130078;26.30582765;28.83461496;30.64680742;28.50282669;38.00489595
62.97785801;31.62652586;0.662479804;0.317617745;6.290563654;17.5850859;17.65396784;18.14442005;16.32607939;19.18617941
61.55628925;35.29119903;0.567346393;0.274372865;8.150964825;16.40019472;16.84438133;15.4739159;15.49419657;11.60814671
61.19331658;37.26614109;0.69061518;0.216850848;9.119914052;24.74817932;26.19499712;23.14211537;22.39175801;23.22523813
60.35270114;35.78107287;0.774062516;0.443922241;5.807372927;18.84491237;15.48654167;20.41717305;19.22473314;16.64547827
60.96327656;36.50950089;0.595842812;0.306767989;9.8232264;16.92091923;16.96020113;18.49126053;14.78282382;19.33031026
60.19571846;35.10797699;0.696958217;0.45888893;9.789928266;14.31965109;14.64548533;15.34666411;15.81178187;13.41473473
64.99458327;31.38412917;0.591955404;0.455986287;8.19977498;8.487881835;8.145899142;8.853600279;3.870737229;8.766417283
63.02182465;32.74445389;0.585953742;0.24648524;6.11754631;17.28269911;14.69790686;15.46177068;7.913089352;12.01245238
60.73301074;37.70334375;0.596081217;0.390581379;6.725298468;13.08669321;12.52247432;11.42921145;16.99554287;18.13085614
60.10154883;33.53306827;0.622719866;0.246864566;6.739186476;18.41823167;19.495059;16.81128404;26.01975813;18.24032105
60.99106289;30.05817924;0.679926647;0.337882514;6.765536362;16.39472818;15.89215891;15.00784719;17.9756976;9.629182584
60.41820821;33.39933614;0.527329136;0.205472177;9.314999034;16.27274025;15.75948609;16.59445234;16.46722532;19.96420777
60.25948888;32.15832621;0.701618585;0.405921579;5.837909422;15.47959816;14.62016885;14.10593375;19.42759004;17.99530818
62.82821448;39.98015742;0.500706809;0.318707321;5.87905107;12.44624978;12.89000941;10.61821034;12.40978566;11.13342803
61.61689159;30.80795946;0.750037637;0.30311991;6.854288076;20.79199072;21.74374972;23.7532247;23.2567406;23.34260535
60.22883623;34.25044693;0.598042587;0.209782017;9.665284002;19.38918969;19.07881205;17.12873807;16.62255415;19.26383366
61.55974956;33.6641993;0.684460724;0.318972944;9.708133552;19.46383369;18.81138987;20.70862382;19.75346582;12.23383973
63.44005539;33.00994683;0.591538933;0.313504348;9.121313066;15.6235985;15.88364911;17.98535942;14.53574758;2.202322228
63.23511727;31.31198951;0.639496028;0.425732351;5.177765433;12.036964;11.36622431;11.90583709;11.77944442;9.602217574
60.42137584;31.89881609;0.623524594;0.217981795;5.033395465;18.31667909;19.32092387;18.84214472;19.41474737;10.2600213
62.60260242;30.03716431;0.711699056;0.306356846;7.571790758;19.18544304;17.44393886;17.11759255;22.52167649;4.579975966
61.21411591;31.33711338;0.535092922;0.464381684;6.378554016;4.348695656;3.522204689;1.793170716;6.6401287;3.777201472
62.53082325;36.92231777;0.537778192;0.461162203;8.112289366;5.54445781;7.24144892;6.154269704;5.943685967;-3.190163399
60.2538662;33.82266693;0.513618574;0.219020852;6.006168208;14.90846978;15.58148956;15.29209277;10.06523391;5.037477997
62.80463483;39.91360719;0.665625856;0.306332449;9.199440921;22.27816598;22.1411564;20.6579967;23.28998411;30.77715514
64.93209353;30.32323702;0.501724329;0.316480139;6.067722229;10.34844804;12.1711089;10.20632755;14.86812497;8.582202717
64.32106285;30.37627755;0.734001975;0.316866802;6.925530816;20.35060095;21.555217;19.80758141;19.50186249;23.72668529
60.83925979;35.35809995;0.562020655;0.399305519;7.21463188;10.19127523;10.71640644;12.23359216;2.203687681;16.81175417
61.92249868;32.29843574;0.525422792;0.225185664;8.474953507;15.3342719;16.54586504;15.52483774;15.96954545;16.81295061
63.46236956;30.01070868;0.745466597;0.309699599;9.099893247;20.85044135;22.42639184;20.82114032;26.19730306;17.11078721
62.57888918;30.24023114;0.615412929;0.482439166;5.022433267;7.670771668;8.912842538;7.875953431;11.52450933;5.074527726
62.12631943;38.4795206;0.558831274;0.439717321;7.125536975;8.49960327;9.770944;7.635300482;4.749288611;15.67138384
62.3875883;33.57373951;0.699908856;0.263482657;7.706868668;21.92373818;22.93525918;21.2811574;25.36332253;22.41100817
64.4560913;34.15933728;0.739639957;0.362863197;5.215700537;20.91726541;19.42175069;22.09115533;22.44404324;21.63933877
60.95409476;33.7277732;0.589302978;0.318574087;6.138928067;14.71699503;14.20661142;18.55761229;19.52616574;17.98497067
